specie, ITS_1, ITS_2, ITS_1+2
Arctostaphylos parryana,AF297757,AF297802,NA
Arctostaphylos patula,AF297754,AF297799,NA
Arctostaphylos nummularia,AF297755,AF297800,NA
Arctostaphylos densiflora,AF297753,AF297799,NA
Arctostaphylos stanfordiana,AF297751,AF297796,NA
Arctostaphylos mendocinoensis,AF297750,AF297795,NA
Arctostaphylos hispidula,AF297752,AF297797,NA
Arctostaphylos myrtifolia,AF297760,AF297805,NA
Arctostaphylos imbricata,AF297758,AF297803,NA
Arctostaphylos mewukka,AF297759,AF297804,NA
Arctostaphylos peninsularis,AF297785,AF297830,NA
Arctostaphylos pringlei,AF297784,AF297829,NA
Arctostaphylos tomentosa,AF297786,AF297831,NA
Arctostaphylos uva-ursi,AF297761,AF297806,NA
Arctostaphylos cruzensis,AF297750,AF297795,NA
Arctostaphylos viscida,AF297783,AF297828,NA
Arctostaphylos nissenana,AF297782,AF297827,NA
Arctostaphylos silvicola,AF297768,AF297813,NA
Arctostaphylos pechoensis,AF297767,AF297812,NA
Arctostaphylos purissima,AF297767,AF297812,NA
Arctostaphylos morroensis,AF297763,AF297808,NA
Arctostaphylos obispoensis,AF297764,AF297809,NA
Arctostaphylos montereyensis,AF297770,AF297815,NA
Arctostaphylos hookeri,AF297756,AF297801,NA
Arctostaphylos glauca,AF297778,AF297823,NA
Arctostaphylos refugioensis,AF297776,AF297821,NA
Arctostaphylos glandulosa,AF297775,AF297820,NA
Arctostaphylos colombiana,AF297765,AF297810,NA
Arctostaphylos manzanita,NA,NA,GQ280941
Arctostaphylos catalinae,AF297787,AF297832,NA
Arctostaphylos bakeri,AF297774,AF297819,NA
Arctostaphylos pajaroensis,AF297772,AF297817,NA
Arctostaphylos hooveri,AF297773,AF297818,NA
Arctostaphylos pilosula,AF297766,AF297811,NA
Arctostaphylos pungens,NA,NA,AF106820
Arctostaphylos andersonii,AF297780,AF297825,NA
Arctostaphylos canescens,AF297781,AF297826,NA
Arctostaphylos auriculata,AF297779,AF297824,NA
Arctostaphylos viridissima,AF297777,AF297802,NA
Arctostaphylos pallida,AF297771,AF297816,NA
